Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
78,Rodney Carney\carnero01,SF,26,MEM,2,5,20.4,0.33299999999999996,0.33299999999999996,0.0,23.7,0.0,12.0,0.0,10.4,0.0,0.0,27.1,,0.0,0.0,0.0,0.071,,0.4,-1.2,-0.8,0.0,West
79,DeMarre Carroll\carrode01,PF,24,TOT,12,50,8.7,0.38799999999999996,0.0,0.16699999999999998,4.7,14.5,9.6,10.7,1.0,1.6,0.0,11.6,,0.0,0.0,0.1,0.066,,-4.5,-1.3,-5.8,0.0,NaN
79,DeMarre Carroll\carrode01,PF,24,MEM,7,39,12.4,0.506,0.0,0.222,6.1,18.6,12.3,7.3,1.3,2.1,0.0,11.4,,0.1,0.0,0.1,0.145,,-2.0,0.5,-1.5,0.0,West
79,DeMarre Carroll\carrode01,PF,24,HOU,5,11,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.0,0.0,0.0,12.0,,0.0,0.0,0.0,-0.214,,-13.3,-7.8,-21.1,-0.1,West
80,Matt Carroll\carroma01,SG,30,CHA,54,582,12.2,0.53,0.231,0.261,2.5,11.7,7.1,6.9,1.6,0.8,9.4,19.8,,0.3,0.5,0.8,0.062,,-2.3,-2.0,-4.3,-0.3,East
81,Anthony Carter\cartean01,PG,35,TOT,33,463,9.2,0.502,0.377,0.075,1.7,10.9,6.3,21.3,2.9,1.0,26.3,14.3,,-0.2,0.4,0.2,0.023,,-2.8,0.1,-2.8,-0.1,NaN
81,Anthony Carter\cartean01,PG,35,DEN,14,153,5.4,0.42100000000000004,0.4,0.067,0.0,8.8,4.5,23.2,3.0,0.5,31.2,13.1,,-0.2,0.2,-0.1,-0.018000000000000002,,-4.8,0.1,-4.7,-0.1,West
81,Anthony Carter\cartean01,PG,35,NYK,19,310,11.1,0.534,0.368,0.079,2.6,11.9,7.2,20.4,2.9,1.2,24.1,14.8,,0.0,0.3,0.3,0.044000000000000004,,-1.9,0.1,-1.8,0.0,East
82,Vince Carter\cartevi01,SG,34,TOT,73,2051,14.8,0.528,0.36,0.19399999999999998,3.1,12.4,7.8,12.1,1.7,0.7,8.5,23.5,,2.0,1.9,3.8,0.08900000000000001,,1.0,-0.7,0.3,1.2,NaN
82,Vince Carter\cartevi01,SG,34,ORL,22,664,16.2,0.557,0.293,0.282,2.0,13.5,7.9,17.3,1.6,0.4,10.7,23.4,,1.1,1.0,2.1,0.151,,1.4,0.6,1.9,0.7,East
82,Vince Carter\cartevi01,SG,34,PHO,51,1387,14.2,0.516,0.389,0.157,3.6,11.8,7.7,9.6,1.7,0.9,7.5,23.5,,0.9,0.8,1.7,0.06,,0.8,-1.2,-0.4,0.5,West
83,Omri Casspi\casspom01,SF,22,SAC,71,1702,11.7,0.517,0.452,0.185,4.8,16.0,10.3,6.6,1.6,0.6,10.3,16.7,,1.1,1.3,2.5,0.069,,-0.6,-0.7,-1.3,0.3,West
84,Mario Chalmers\chalmma01,PG,24,MIA,70,1579,10.3,0.5379999999999999,0.595,0.16,1.0,9.5,5.5,16.8,2.5,0.3,18.0,15.0,,0.7,2.3,2.9,0.08900000000000001,,-0.3,0.3,0.0,0.8,East
85,Tyson Chandler\chandty01,C,28,DAL,74,2059,18.4,0.6970000000000001,0.0,0.725,12.2,26.6,19.7,2.4,0.9,3.0,14.1,14.2,,5.8,3.5,9.4,0.218,,0.5,1.7,2.2,2.2,West
86,Wilson Chandler\chandwi01,SF,23,TOT,72,2401,14.6,0.537,0.336,0.16899999999999998,3.6,15.9,9.7,8.1,1.0,2.9,9.2,20.9,,2.1,1.9,3.9,0.079,,-0.1,-0.5,-0.5,0.9,NaN
86,Wilson Chandler\chandwi01,SF,23,NYK,51,1759,15.7,0.5479999999999999,0.344,0.16699999999999998,4.0,15.8,9.8,8.1,1.0,2.9,8.1,21.0,,2.3,1.2,3.4,0.094,,0.7,-0.8,-0.2,0.8,East
86,Wilson Chandler\chandwi01,SF,23,DEN,21,642,11.6,0.505,0.311,0.174,2.4,16.1,9.4,8.3,1.1,2.8,12.5,20.6,,-0.2,0.7,0.5,0.037000000000000005,,-2.1,0.5,-1.6,0.1,West
87,Josh Childress\childjo01,SG,27,PHO,54,894,13.0,0.5670000000000001,0.075,0.276,8.9,11.1,10.0,7.0,1.9,1.9,15.5,14.3,,0.8,0.6,1.4,0.076,,-0.7,1.3,0.5,0.6,West
88,Earl Clark\clarkea01,SF,23,TOT,42,464,10.1,0.456,0.032,0.297,9.5,15.7,12.7,3.1,0.9,3.0,13.5,20.5,,-0.4,0.7,0.3,0.03,,-5.9,-0.1,-6.0,-0.5,NaN
88,Earl Clark\clarkea01,SF,23,PHO,9,72,11.3,0.41,0.0,0.32299999999999995,6.4,20.9,13.6,8.7,0.7,3.1,5.3,23.4,,-0.1,0.1,0.0,-0.01,,-6.0,-0.9,-6.9,-0.1,West
88,Earl Clark\clarkea01,SF,23,ORL,33,392,9.9,0.46799999999999997,0.039,0.29100000000000004,10.1,14.8,12.5,2.1,0.9,3.0,15.4,20.0,,-0.3,0.7,0.3,0.038,,-5.9,0.1,-5.8,-0.4,East
89,Jarron Collins\collija03,C,32,TOT,28,181,1.6,0.374,0.0,0.47600000000000003,9.1,6.4,7.9,1.5,1.1,0.4,21.6,8.1,,-0.1,0.1,-0.1,-0.016,,-5.4,-0.8,-6.2,-0.2,NaN
89,Jarron Collins\collija03,C,32,LAC,23,157,1.8,0.43799999999999994,0.0,0.667,5.3,7.4,6.3,0.9,1.3,0.5,20.5,6.9,,-0.1,0.1,0.0,0.0,,-5.5,-0.5,-6.0,-0.2,West
89,Jarron Collins\collija03,C,32,POR,5,24,0.0,0.16699999999999998,0.0,0.0,34.2,0.0,17.8,5.9,0.0,0.0,25.0,15.6,,-0.1,0.0,-0.1,-0.124,,-4.7,-2.7,-7.4,0.0,West
90,Jason Collins\collija04,C,32,ATL,49,593,5.4,0.539,0.013999999999999999,0.5770000000000001,6.1,14.5,10.4,5.3,0.8,1.2,22.6,9.2,,0.1,0.5,0.6,0.049,,-4.4,0.5,-3.9,-0.3,East
91,Sherron Collins\collish01,PG,23,CHA,20,66,3.6,0.33399999999999996,0.4,0.04,0.0,9.2,4.6,19.6,1.6,0.0,13.6,20.9,,-0.2,0.0,-0.2,-0.121,,-6.9,-3.3,-10.2,-0.1,East
92,Darren Collison\collida01,PG,23,IND,79,2360,15.6,0.534,0.14300000000000002,0.267,1.9,8.6,5.3,28.9,1.9,0.4,16.6,21.9,,2.1,2.2,4.3,0.087,,0.2,-0.9,-0.7,0.8,East
93,Nick Collison\collini01,C,30,OKC,71,1524,10.8,0.6,0.0,0.302,9.5,14.6,12.1,6.7,1.4,1.5,16.7,9.8,,2.1,1.5,3.6,0.113,,-0.3,1.4,1.0,1.2,West
94,Mike Conley\conlemi01,PG,23,MEM,81,2872,15.9,0.521,0.228,0.259,1.3,9.0,5.1,28.0,2.6,0.5,14.2,19.4,,3.4,3.2,6.6,0.111,,1.4,-0.1,1.3,2.4,West
95,Brian Cook\cookbr01,PF,30,LAC,40,447,11.6,0.534,0.465,0.141,5.0,20.0,12.6,5.6,1.4,1.9,12.2,20.5,,0.1,0.5,0.6,0.064,,-1.8,-1.6,-3.5,-0.2,West
96,Daequan Cook\cookda02,SG,23,OKC,43,598,12.8,0.63,0.851,0.11,1.6,12.1,7.0,5.3,1.2,0.1,8.2,15.7,,1.2,0.4,1.6,0.126,,2.5,-2.7,-0.2,0.3,West
97,Marcus Cousin\cousima01,C,24,UTA,4,18,7.8,0.667,0.0,0.0,0.0,20.3,10.1,0.0,0.0,4.5,25.0,10.2,,0.0,0.0,0.0,0.008,,-7.5,-2.4,-9.9,0.0,West
98,DeMarcus Cousins\couside01,C,20,SAC,81,2309,14.6,0.484,0.018000000000000002,0.4,10.4,24.4,17.2,14.7,1.9,2.1,18.5,27.2,,-1.9,2.9,1.1,0.022000000000000002,,-2.9,1.5,-1.4,0.4,West
99,Jamal Crawford\crawfja01,SG,30,ATL,76,2297,14.2,0.545,0.39899999999999997,0.297,1.2,5.6,3.4,17.7,1.3,0.5,12.8,23.4,,1.9,1.4,3.4,0.071,,0.7,-2.7,-2.0,0.0,East
100,Jordan Crawford\crawfjo02,SG,22,TOT,42,1027,11.8,0.456,0.256,0.168,3.4,8.6,5.9,19.8,2.0,0.2,13.4,27.0,,-1.0,0.5,-0.6,-0.026000000000000002,,-1.4,-2.5,-3.8,-0.5,NaN
100,Jordan Crawford\crawfjo02,SG,22,ATL,16,160,7.6,0.42100000000000004,0.35100000000000003,0.078,6.8,14.2,10.5,16.0,1.0,0.0,15.8,28.1,,-0.4,0.1,-0.3,-0.09,,-4.5,-3.0,-7.5,-0.2,East
100,Jordan Crawford\crawfjo02,SG,22,WAS,26,867,12.6,0.462,0.239,0.184,2.8,7.5,5.1,20.5,2.1,0.3,12.9,26.8,,-0.6,0.3,-0.3,-0.013999999999999999,,-0.8,-2.4,-3.2,-0.3,East
101,Dante Cunningham\cunnida01,PF,23,TOT,78,1637,10.7,0.483,0.027999999999999997,0.131,6.9,13.9,10.3,4.3,1.8,2.2,9.3,15.7,,0.3,1.7,2.0,0.06,,-3.2,0.5,-2.8,-0.3,NaN
101,Dante Cunningham\cunnida01,PF,23,POR,56,1108,9.5,0.457,0.013999999999999999,0.155,7.7,13.4,10.4,4.3,1.9,2.4,9.6,14.5,,0.1,1.2,1.3,0.057,,-3.5,1.0,-2.5,-0.1,West
101,Dante Cunningham\cunnida01,PF,23,CHA,22,529,13.1,0.525,0.05,0.094,5.2,15.0,10.1,4.5,1.5,1.7,8.7,18.3,,0.2,0.5,0.7,0.065,,-2.6,-0.6,-3.2,-0.2,East
102,Stephen Curry\curryst01,PG,22,GSW,74,2489,19.4,0.595,0.325,0.21600000000000003,2.3,10.9,6.5,28.1,2.2,0.6,16.4,24.4,,5.4,1.3,6.6,0.128,,3.5,-1.6,1.9,2.4,West
103,Samuel Dalembert\dalemsa01,C,29,SAC,80,1938,14.1,0.509,0.004,0.261,12.1,26.9,19.3,5.3,0.9,4.3,17.3,17.1,,0.4,2.5,2.9,0.07200000000000001,,-3.6,1.6,-2.0,0.0,West
104,Erick Dampier\dampier01,C,35,MIA,51,815,9.7,0.591,0.011000000000000001,0.494,8.2,17.1,12.9,3.8,0.9,4.5,22.8,8.1,,0.5,1.4,1.9,0.109,,-2.8,3.0,0.3,0.5,East
105,Antonio Daniels\daniean01,PG,35,PHI,4,35,6.7,0.51,0.4,0.4,0.0,16.5,8.2,7.9,0.0,0.0,14.5,9.1,,0.0,0.0,0.0,0.044000000000000004,,-4.9,-1.1,-6.0,0.0,East
106,Marquis Daniels\daniema01,SF,30,BOS,49,938,11.7,0.527,0.091,0.24600000000000002,3.3,11.0,7.4,10.6,2.2,1.8,12.9,15.1,,0.3,1.7,2.0,0.10300000000000001,,-2.3,2.6,0.3,0.6,East
107,Baron Davis\davisba01,PG,31,TOT,58,1649,17.0,0.506,0.345,0.18899999999999997,2.5,8.6,5.5,41.2,2.4,1.3,16.3,24.4,,1.5,1.3,2.8,0.081,,2.2,-1.5,0.7,1.1,NaN
107,Baron Davis\davisba01,PG,31,LAC,43,1269,16.3,0.49200000000000005,0.295,0.20199999999999999,2.7,8.3,5.5,39.9,2.5,1.4,16.0,23.5,,1.0,1.1,2.1,0.079,,1.5,-1.1,0.4,0.8,West
107,Baron Davis\davisba01,PG,31,CLE,15,380,19.3,0.5479999999999999,0.489,0.152,1.8,9.3,5.4,45.4,2.2,1.2,17.0,27.3,,0.5,0.2,0.7,0.086,,4.5,-2.8,1.7,0.4,East
108,Ed Davis\davised01,PF,21,TOR,65,1602,15.8,0.583,0.0,0.34299999999999997,12.1,22.3,17.1,3.8,1.3,3.2,10.1,13.3,,2.9,1.1,4.0,0.11900000000000001,,-0.1,0.5,0.3,0.9,East
109,Glen Davis\davisgl01,C,25,BOS,78,2298,12.8,0.499,0.019,0.331,5.7,16.4,11.4,6.6,1.8,1.0,8.5,20.9,,0.6,4.3,4.9,0.102,,-2.8,1.4,-1.4,0.3,East
110,Austin Daye\dayeau01,SF,22,DET,72,1446,13.0,0.518,0.365,0.22899999999999998,5.2,18.6,11.6,8.5,1.5,2.2,10.2,18.6,,1.2,0.9,2.1,0.07,,-0.6,-0.7,-1.3,0.3,East
111,Carlos Delfino\delfica01,SF,28,MIL,49,1590,13.1,0.517,0.5539999999999999,0.146,1.7,13.2,7.3,12.1,2.6,0.4,9.5,17.7,,0.9,2.6,3.5,0.105,,0.6,1.5,2.1,1.6,East
112,Luol Deng\denglu01,SF,25,CHI,82,3208,15.5,0.5489999999999999,0.28800000000000003,0.29100000000000004,4.4,12.8,8.7,11.9,1.3,1.1,10.7,20.9,,4.7,5.2,9.9,0.149,,1.2,1.0,2.2,3.4,East
113,DeMar DeRozan\derozde01,SG,21,TOR,82,2851,14.5,0.53,0.045,0.348,3.0,10.2,6.5,8.6,1.5,0.8,9.8,23.2,,2.8,0.5,3.2,0.055,,-0.6,-1.9,-2.4,-0.3,East
114,Boris Diaw\diawbo01,PF,28,CHA,82,2778,13.9,0.5579999999999999,0.292,0.159,4.5,13.6,9.0,20.6,1.4,1.3,16.7,16.8,,2.4,2.3,4.8,0.08199999999999999,,0.8,0.7,1.5,2.5,East
115,Ike Diogu\dioguik01,PF,27,LAC,36,470,13.7,0.59,0.0,0.419,10.3,18.3,14.3,0.7,0.3,0.5,11.2,18.7,,0.7,0.3,1.0,0.10400000000000001,,-2.9,-4.7,-7.6,-0.7,West
116,DeSagana Diop\diopde01,C,29,CHA,16,181,5.4,0.34700000000000003,0.0,0.45799999999999996,8.0,18.9,13.4,5.7,1.2,6.7,27.6,10.3,,-0.3,0.3,-0.1,-0.016,,-7.4,4.2,-3.3,-0.1,East
117,Keyon Dooling\doolike01,PG,30,MIL,80,1757,11.3,0.509,0.451,0.18100000000000002,0.8,7.1,3.9,23.4,1.6,0.2,14.0,17.3,,0.8,2.1,2.9,0.08,,-1.0,-1.2,-2.2,-0.1,East
118,Joey Dorsey\dorsejo01,C,27,TOR,43,522,14.2,0.529,0.0,0.657,17.5,25.8,21.6,7.4,2.4,2.5,23.4,14.3,,0.2,0.5,0.8,0.07200000000000001,,-1.6,1.6,0.0,0.3,East
119,Toney Douglas\douglto01,SG,24,NYK,81,1971,15.2,0.534,0.507,0.142,3.7,10.5,7.1,19.5,2.3,0.1,10.0,20.1,,3.0,1.2,4.2,0.10099999999999999,,2.5,-1.8,0.7,1.4,East
120,Chris Douglas-Roberts\douglch01,SF,24,MIL,44,884,11.5,0.517,0.168,0.326,0.9,11.0,5.8,9.8,1.8,1.2,10.1,18.4,,0.4,1.3,1.6,0.08800000000000001,,-2.8,0.6,-2.3,-0.1,East
121,Zabian Dowdell\dowdeza01,PG,26,PHO,24,292,11.7,0.457,0.08,0.136,2.0,5.9,4.0,27.7,3.5,0.5,18.0,25.0,,-0.4,0.2,-0.1,-0.019,,-3.5,-1.0,-4.6,-0.2,West
122,Goran Dragic\dragigo01,PG,24,TOT,70,1234,13.2,0.524,0.35100000000000003,0.302,3.3,9.9,6.6,25.6,2.1,0.6,19.0,22.4,,0.2,0.8,1.0,0.04,,-0.3,-1.2,-1.5,0.2,NaN
122,Goran Dragic\dragigo01,PG,24,PHO,48,856,11.2,0.49200000000000005,0.32,0.307,3.2,8.4,5.8,26.8,2.1,0.5,21.1,24.0,,-0.7,0.5,-0.2,-0.012,,-1.7,-1.3,-3.0,-0.2,West
122,Goran Dragic\dragigo01,PG,24,HOU,22,378,17.7,0.604,0.43200000000000005,0.28800000000000003,3.6,13.2,8.4,22.7,1.9,0.7,13.0,18.9,,0.9,0.3,1.2,0.157,,2.9,-0.9,2.0,0.4,West
123,Jared Dudley\dudleja01,SF,25,PHO,82,2140,15.6,0.598,0.402,0.34700000000000003,6.0,11.2,8.6,7.6,2.1,0.7,9.6,16.9,,4.2,1.4,5.6,0.126,,2.6,0.2,2.8,2.5,West
124,Chris Duhon\duhonch01,PG,28,ORL,51,774,5.6,0.446,0.40299999999999997,0.19399999999999998,1.4,6.3,3.9,22.4,1.1,0.2,30.3,12.0,,-0.7,0.9,0.2,0.013999999999999999,,-4.7,-0.4,-5.1,-0.6,East
125,Tim Duncan\duncati01,C,34,SAS,76,2156,21.9,0.537,0.005,0.307,9.3,26.8,18.3,15.7,1.2,4.8,11.4,22.9,,3.7,4.0,7.7,0.171,,-0.1,3.9,3.8,3.2,West
126,Mike Dunleavy\dunlemi02,SG,30,IND,61,1683,14.6,0.593,0.488,0.24,1.9,16.2,9.1,10.1,1.2,1.3,10.7,16.9,,2.6,1.9,4.5,0.129,,1.1,0.2,1.3,1.4,East
127,Ronald Dupree\duprero01,SF,30,TOR,3,13,0.5,0.25,0.25,0.0,0.0,28.0,13.7,10.7,0.0,0.0,0.0,13.8,,0.0,0.0,0.0,-0.094,,-8.2,-2.5,-10.7,0.0,East
128,Kevin Durant\duranke01,SF,22,OKC,78,3038,23.6,0.589,0.26899999999999996,0.439,2.3,17.7,10.3,13.2,1.5,1.8,10.6,30.6,,8.6,3.3,12.0,0.18899999999999997,,3.7,-0.8,2.9,3.7,West
129,Devin Ebanks\ebankde01,SG,21,LAL,20,118,19.4,0.507,0.098,0.451,14.9,11.1,13.0,2.8,1.8,3.2,8.9,25.9,,0.2,0.2,0.4,0.14400000000000002,,-1.8,-2.5,-4.3,-0.1,West
130,Wayne Ellington\ellinwa01,SG,23,MIN,62,1181,8.6,0.488,0.305,0.134,2.4,7.9,5.1,9.4,1.2,0.2,11.2,17.1,,0.1,0.1,0.3,0.01,,-2.2,-2.3,-4.6,-0.8,West
131,Monta Ellis\ellismo01,SG,25,GSW,80,3227,18.6,0.536,0.235,0.268,1.5,8.5,4.9,23.4,2.6,0.5,12.3,28.1,,4.3,1.7,6.0,0.08900000000000001,,2.0,-1.8,0.2,1.8,West
132,Francisco Elson\elsonfr01,C,34,UTA,62,610,8.9,0.529,0.0,0.27399999999999997,6.9,16.0,11.4,7.9,1.8,1.9,20.2,11.9,,0.1,0.5,0.6,0.046,,-3.5,0.4,-3.1,-0.2,West
133,Melvin Ely\elyme01,C,32,DEN,30,366,8.3,0.573,0.0,0.41200000000000003,8.8,14.4,11.7,5.3,0.5,2.3,18.9,9.0,,0.3,0.3,0.6,0.083,,-2.0,1.0,-1.0,0.1,West
134,Semih Erden\erdense01,C,24,TOT,41,595,10.3,0.593,0.0,0.541,7.9,15.8,12.1,5.1,1.3,3.1,19.8,13.7,,0.3,1.1,1.4,0.115,,-3.0,2.5,-0.5,0.2,NaN
134,Semih Erden\erdense01,C,24,BOS,37,531,10.8,0.621,0.0,0.557,7.6,16.6,12.4,5.5,1.3,3.1,20.9,13.8,,0.4,1.0,1.4,0.128,,-2.7,2.8,0.1,0.3,East
134,Semih Erden\erdense01,C,24,CLE,4,64,6.2,0.391,0.0,0.429,10.5,9.2,9.9,2.3,1.6,3.6,10.7,13.2,,0.0,0.0,0.0,0.002,,-5.5,0.1,-5.3,-0.1,East
135,Jeremy Evans\evansje01,SF,23,UTA,49,463,18.8,0.6779999999999999,0.009000000000000001,0.322,9.3,16.1,12.6,8.5,1.9,3.0,12.6,14.9,,1.2,0.4,1.6,0.16699999999999998,,1.0,0.2,1.2,0.4,West
136,Maurice Evans\evansma01,SF,32,TOT,73,1549,9.1,0.513,0.39399999999999996,0.13699999999999998,3.9,8.0,5.9,4.5,1.1,0.7,6.8,14.2,,1.0,0.7,1.7,0.054000000000000006,,-1.3,-1.6,-2.9,-0.4,NaN
136,Maurice Evans\evansma01,SF,32,ATL,47,837,7.5,0.49200000000000005,0.44299999999999995,0.139,3.3,8.7,6.0,5.4,1.0,0.5,6.6,13.0,,0.3,0.6,0.9,0.05,,-2.1,-1.3,-3.4,-0.3,East
136,Maurice Evans\evansma01,SF,32,WAS,26,712,10.9,0.531,0.35,0.135,4.5,7.1,5.8,3.4,1.3,1.0,7.1,15.8,,0.7,0.2,0.9,0.057999999999999996,,-0.4,-1.9,-2.4,-0.1,East
137,Reggie Evans\evansre01,PF,30,TOR,30,798,12.4,0.466,0.01,0.8540000000000001,17.2,34.4,25.6,6.4,1.9,0.6,21.6,10.1,,0.5,0.8,1.3,0.077,,-1.8,1.4,-0.4,0.3,East
138,Tyreke Evans\evansty01,SG,21,SAC,57,2107,14.4,0.48200000000000004,0.159,0.285,2.4,12.7,7.4,24.9,2.0,1.0,14.9,25.3,,-0.1,1.7,1.6,0.036000000000000004,,-0.6,0.1,-0.5,0.8,West
139,Patrick Ewing\ewingpa02,SF,26,NOH,7,19,0.6,0.222,0.4,0.8,6.4,6.4,6.4,14.2,0.0,4.4,12.9,19.5,,-0.1,0.0,-0.1,-0.158,,-8.7,-0.6,-9.3,0.0,West
140,Christian Eyenga\eyengch01,SF,21,CLE,44,947,9.0,0.47600000000000003,0.297,0.092,3.2,12.0,7.5,6.2,1.9,2.3,12.9,17.5,,-0.8,0.5,-0.3,-0.016,,-3.6,-0.1,-3.7,-0.4,East
141,Jordan Farmar\farmajo01,PG,24,NJN,73,1796,14.1,0.504,0.467,0.154,1.5,10.1,5.7,34.9,1.8,0.3,16.7,21.6,,0.8,1.0,1.9,0.05,,1.2,-2.1,-0.9,0.5,East
142,Derrick Favors\favorde01,PF,19,TOT,78,1535,13.8,0.542,0.0,0.41600000000000004,12.9,19.1,16.0,4.2,1.0,3.5,13.5,17.1,,1.5,1.4,2.9,0.091,,-2.1,0.0,-2.1,0.0,NaN
142,Derrick Favors\favorde01,PF,19,NJN,56,1091,12.6,0.54,0.0,0.42,13.3,19.1,16.1,3.2,0.9,2.9,14.6,16.3,,0.9,1.0,1.9,0.083,,-2.5,-0.2,-2.7,-0.2,East
142,Derrick Favors\favorde01,PF,19,UTA,22,444,16.8,0.545,0.0,0.40700000000000003,12.1,19.2,15.6,6.7,1.3,4.9,11.3,19.2,,0.6,0.4,1.0,0.11,,-1.1,0.5,-0.7,0.1,West
143,Raymond Felton\feltora01,PG-SG,26,TOT,75,2737,16.6,0.524,0.327,0.24,2.0,9.2,5.6,35.8,2.3,0.3,16.6,21.6,,3.6,1.8,5.4,0.094,,2.0,-1.7,0.3,1.6,NaN
143,Raymond Felton\feltora01,PG,26,NYK,54,2074,17.3,0.524,0.335,0.226,2.2,8.6,5.3,37.3,2.3,0.4,16.7,22.6,,2.9,1.2,4.0,0.09300000000000001,,2.3,-2.0,0.3,1.2,East
143,Raymond Felton\feltora01,SG,26,DEN,21,663,14.7,0.523,0.299,0.294,1.4,11.3,6.5,31.1,2.1,0.0,16.3,18.5,,0.7,0.6,1.3,0.09699999999999999,,0.9,-0.5,0.4,0.4,West
144,Rudy Fernandez\fernaru01,SG,25,POR,78,1821,13.4,0.522,0.628,0.254,2.4,9.5,5.8,16.9,2.6,0.6,12.1,18.7,,2.0,1.8,3.8,0.1,,1.5,-0.6,0.9,1.3,West
145,Kyrylo Fesenko\fesenky01,C,24,UTA,53,456,5.8,0.441,0.01,0.46,8.9,19.8,14.3,5.9,0.5,2.9,17.2,14.6,,-0.4,0.3,-0.1,-0.011000000000000001,,-5.7,-0.8,-6.5,-0.5,West
146,Landry Fields\fieldla01,SG,22,NYK,82,2541,13.5,0.598,0.364,0.244,4.7,18.9,11.7,9.0,1.6,0.5,13.8,13.5,,3.4,1.8,5.3,0.1,,0.5,0.1,0.6,1.7,East
147,Derek Fisher\fishede01,PG,36,LAL,82,2297,8.9,0.486,0.301,0.195,0.7,6.6,3.7,14.0,2.3,0.3,10.9,12.8,,1.2,2.5,3.7,0.078,,-1.6,0.3,-1.2,0.4,West
148,Jonny Flynn\flynnjo01,PG,21,MIN,53,983,7.1,0.444,0.33799999999999997,0.142,1.3,7.5,4.3,27.6,1.7,0.2,26.4,18.5,,-1.6,0.2,-1.3,-0.064,,-4.4,-2.8,-7.2,-1.3,West
149,Gary Forbes\forbega01,SF,25,DEN,63,791,11.7,0.524,0.212,0.319,4.2,12.5,8.5,9.7,1.5,0.6,12.9,20.1,,0.3,0.7,0.9,0.055,,-1.9,-1.1,-3.0,-0.2,West
150,T.J. Ford\fordtj01,PG,27,IND,41,773,9.9,0.434,0.136,0.203,2.5,9.1,5.8,28.4,2.3,0.8,19.7,18.3,,-0.7,0.8,0.2,0.011000000000000001,,-3.5,-0.3,-3.8,-0.3,East
151,Jeff Foster\fosteje01,C,34,IND,56,940,14.3,0.49700000000000005,0.018000000000000002,0.287,19.1,22.3,20.7,7.3,1.3,2.4,12.1,10.1,,1.6,1.4,3.0,0.152,,-0.2,2.3,2.1,1.0,East
152,Randy Foye\foyera01,SG,27,LAC,63,1551,11.4,0.516,0.409,0.281,1.0,6.7,3.9,17.5,1.6,1.1,13.7,19.9,,0.9,0.8,1.7,0.051,,-0.8,-1.8,-2.6,-0.2,West
153,Channing Frye\fryech01,PF,27,PHO,77,2541,12.8,0.557,0.53,0.129,3.0,20.4,11.7,5.7,0.9,2.3,7.7,16.9,,2.7,2.1,4.7,0.09,,0.7,0.5,1.2,2.0,West
154,Dan Gadzuric\gadzuda01,C-PF,32,TOT,42,463,9.9,0.419,0.008,0.209,17.2,16.4,16.8,4.5,1.4,4.8,17.1,16.5,,-0.3,0.4,0.1,0.013999999999999999,,-4.6,0.6,-4.0,-0.2,NaN
154,Dan Gadzuric\gadzuda01,C,32,GSW,28,297,10.2,0.419,0.011000000000000001,0.159,19.8,12.9,16.4,5.3,1.7,4.6,18.2,17.1,,-0.2,0.2,0.1,0.013000000000000001,,-3.7,0.4,-3.3,-0.1,West
154,Dan Gadzuric\gadzuda01,PF,32,NJN,14,166,9.1,0.41700000000000004,0.0,0.317,12.5,22.7,17.4,2.9,1.0,5.1,14.6,15.3,,-0.2,0.2,0.1,0.015,,-6.2,1.0,-5.2,-0.1,East
155,Sundiata Gaines\gainesu01,PG,24,TOT,24,301,11.3,0.45899999999999996,0.36200000000000004,0.34299999999999997,4.9,10.0,7.4,22.8,2.8,0.3,18.3,22.1,,-0.3,0.2,-0.1,-0.015,,-1.6,-1.3,-2.9,-0.1,NaN
155,Sundiata Gaines\gainesu01,PG,24,MIN,8,65,4.9,0.39799999999999996,0.273,0.455,1.7,8.8,5.1,13.7,2.3,0.0,18.5,21.2,,-0.2,0.0,-0.1,-0.102,,-6.3,-2.4,-8.7,-0.1,West
155,Sundiata Gaines\gainesu01,PG,24,TOR,6,90,9.3,0.465,0.429,0.171,2.6,8.1,5.3,19.5,2.3,0.8,17.5,22.7,,-0.1,0.0,-0.1,-0.05,,-2.0,-2.6,-4.6,-0.1,East
155,Sundiata Gaines\gainesu01,PG,24,NJN,10,146,15.3,0.484,0.354,0.41700000000000004,7.9,11.7,9.7,28.9,3.3,0.0,18.6,22.2,,0.0,0.1,0.1,0.046,,0.7,0.0,0.8,0.1,East
156,Danilo Gallinari\gallida01,PF-SF,22,TOT,62,2104,15.7,0.597,0.45799999999999996,0.611,3.2,13.4,8.3,7.4,1.2,0.9,9.3,18.9,,4.9,1.2,6.1,0.139,,2.1,-1.6,0.5,1.3,NaN
156,Danilo Gallinari\gallida01,PF,22,NYK,48,1671,15.6,0.6,0.47,0.57,3.3,12.5,7.8,7.4,1.1,0.8,8.4,18.5,,4.2,0.7,4.9,0.14,,2.4,-2.0,0.5,1.0,East
156,Danilo Gallinari\gallida01,SF,22,DEN,14,433,15.9,0.5870000000000001,0.41200000000000003,0.7709999999999999,3.0,16.8,10.1,7.5,1.5,1.6,12.5,20.6,,0.7,0.5,1.2,0.133,,0.7,-0.2,0.6,0.3,West
